S7,7,$114.83,$114.09,$115.72,262,259,1299,9371488
S30,30,$114.45,$113.63,$115.11,189,186,1304,9371498
S2,2,$114.84,$114.24,$115.47,320,317,1307,9371508
S5,5,$114.50,$114.15,$114.69,308,305,1314,9371518
S7,7,$114.98,$114.54,$115.61,59,56,1321,9371528
S30,30,$114.93,$114.08,$115.49,217,214,1327,9371538
S2,2,$114.90,$114.84,$115.47,209,206,1332,9371548
S3,3,$114.44,$113.75,$115.39,314,311,1337,9371558
S7,7,$114.31,$113.49,$114.84,254,251,1341,9371568
S10,10,$114.70,$114.11,$114.84,363,360,1348,9371578
S2,2,$114.13,$113.44,$114.21,64,61,1354,9371588
S3,3,$114.08,$114.07,$114.50,126,123,1358,9371598
S7,7,$114.96,$114.28,$115.45,14,11,1364,9371608
S10,10,$114.54,$113.58,$115.42,176,173,1371,9371618
S30,30,$114.63,$114.20,$115.58,188,185,1374,9371628
S3,3,$114.45,$114.04,$115.42,100,97,1382,9371638
S5,5,$114.93,$114.74,$115.08,249,246,1387,9371648
S10,10,$114.68,$114.12,$115.41,116,113,1393,9371658
S30,30,$114.20,$113.66,$115.06,73,70,1400,9371668
S3,3,$114.97,$114.27,$115.67,396,393,1407,9371678
S5,5,$114.26,$113.35,$115.25,228,225,1418,9371688
S7,7,$114.63,$113.88,$115.29,347,344,1423,9371698
S30,30,$114.94,$114.27,$115.24,57,54,1431,9371708
S2,2,$114.61,$114.23,$115.16,195,192,1438,9371718
S5,5,$114.94,$114.38,$115.11,304,301,1443,9371728
S7,7,$114.73,$113.76,$115.48,47,44,1449,9371738
S30,30,$114.22,$113.60,$114.87,362,359,1455,9371748
S2,2,$114.59,$113.88,$115.02,205,202,1459,9371758
S3,3,$114.23,$113.23,$114.94,280,277,1465,9371768
S7,7,$114.97,$114.29,$115.70,50,47,1471,9371778
S10,10,$114.37,$113.59,$114.81,383,380,1475,9371788
S2,2,$114.59,$113.98,$115.38,202,199,1482,9371798
S3,3,$114.39,$113.93,$114.79,160,157,1486,9371808
S7,7,$114.92,$114.39,$115.67,112,109,1492,9371818
S10,10,$114.77,$113.97,$114.88,8,5,1497,9371828
S30,30,$114.26,$113.81,$114.80,22,19,1503,9371838
S3,3,$114.08,$114.04,$114.91,251,248,1509,9371848
S5,5,$114.36,$114.06,$114.64,319,316,1515,9371858
S10,10,$114.72,$114.67,$114.82,141,138,1521,9371868
S30,30,$114.72,$114.01,$115.47,16,13,1530,9371878
S3,3,$114.89,$114.10,$115.51,114,111,1537,9371888
S5,5,$114.55,$114.18,$115.52,204,201,1542,9371898
S7,7,$114.20,$114.10,$115.20,300,297,1546,9371908
S30,30,$114.97,$114.38,$115.13,306,303,1552,9371918
S2,2,$114.21,$114.09,$114.92,79,76,1561,9371928
S5,5,$114.47,$114.03,$115.05,53,50,1566,9371938
S7,7,$114.94,$114.83,$115.34,30,27,1571,9371948
S30,30,$114.83,$114.68,$115.46,128,125,1579,9371958
S2,2,$114.91,$114.59,$115.75,185,182,1585,9371968
S3,3,$114.67,$113.77,$115.37,361,358,1594,9371978
S7,7,$114.98,$114.77,$115.16,29,26,1600,9371988
S10,10,$114.47,$113.84,$115.45,217,214,1604,9371998
S2,2,$114.18,$113.40,$114.53,41,38,1610,9372008
S3,3,$114.78,$114.13,$115.70,189,186,1616,9372018
S7,7,$114.70,$114.60,$114.75,147,144,1623,9372028
S10,10,$114.54,$113.91,$114.73,234,231,1628,9372038
S30,30,$114.30,$113.50,$115.11,337,334,1635,9372048
